feature,coefficient,abs_coefficient,model
log_fico_range_high,0.8864987332951372,0.8864987332951372,linear_surrogate
loan duration,0.27654807688154,0.27654807688154,linear_surrogate
log_annual_inc,0.23952560261484143,0.23952560261484143,linear_surrogate
grade_encoded,-0.1941876644774811,0.1941876644774811,linear_surrogate
target,0.1332178695296808,0.1332178695296808,linear_surrogate
int_rate,0.08846798228864787,0.08846798228864787,linear_surrogate
pub_rec,-0.07278573019404863,0.07278573019404863,linear_surrogate
tax_liens,0.06538320419863541,0.06538320419863541,linear_surrogate
purpose_encoded,-0.06512229375283021,0.06512229375283021,linear_surrogate
log_mo_sin_old_rev_tl_op,-0.0432071332417566,0.0432071332417566,linear_surrogate
pub_rec_bankruptcies,0.035403673427328634,0.035403673427328634,linear_surrogate
inq_last_6mths,0.033261267491566326,0.033261267491566326,linear_surrogate
log_bc_open_to_buy,-0.033024941904139245,0.033024941904139245,linear_surrogate
log_avg_cur_bal,-0.018904303521686417,0.018904303521686417,linear_surrogate
log_revol_bal,-0.01618205148420248,0.01618205148420248,linear_surrogate
emp_title_encoded,0.01608775751116744,0.01608775751116744,linear_surrogate
sub_grade_encoded,0.015510517038430073,0.015510517038430073,linear_surrogate
num_bc_tl,-0.013776561027854557,0.013776561027854557,linear_surrogate
mort_acc,-0.013093655604208304,0.013093655604208304,linear_surrogate
num_actv_bc_tl,0.012263054211488865,0.012263054211488865,linear_surrogate
num_rev_accts,0.011991570211970157,0.011991570211970157,linear_surrogate
open_acc,-0.01193185471576804,0.01193185471576804,linear_surrogate
dti,0.010100013771431932,0.010100013771431932,linear_surrogate
delinq_2yrs,-0.007392050876156745,0.007392050876156745,linear_surrogate
mo_sin_rcnt_tl,0.00445270831629939,0.00445270831629939,linear_surrogate
mo_sin_rcnt_rev_tl_op,-0.003548992565905693,0.003548992565905693,linear_surrogate
bc_util,-0.0033187131071528183,0.0033187131071528183,linear_surrogate
num_il_tl,0.0031679132978897568,0.0031679132978897568,linear_surrogate
home_ownership_encoded,0.002717960677628999,0.002717960677628999,linear_surrogate
mths_since_recent_bc,-0.0014981018242507856,0.0014981018242507856,linear_surrogate
revol_util,0.001477143314990716,0.001477143314990716,linear_surrogate
emp_length_encoded,-0.0011183679259164677,0.0011183679259164677,linear_surrogate
zip_code,-0.00011989165978699423,0.00011989165978699423,linear_surrogate
Pct_afro_american,0.00011823866879181995,0.00011823866879181995,linear_surrogate
funded_amnt,-5.820029243330244e-06,5.820029243330244e-06,linear_surrogate
issue_d,-8.358449698514128e-11,8.358449698514128e-11,linear_surrogate
